,id
1063,9504
1064,15764
1065,601
1066,67365
1067,25842
1068,2119
1069,744
1070,136311
1071,221
1072,702
1073,25750
1074,17642
1075,427043
1076,146341
1077,9305
1078,37616
1079,11112
1080,21612
1081,141210
1082,102461
1083,36998
1084,200383
1085,116844
1086,1630
1087,26626
1088,124837
1089,11816
1090,11843
1091,10379
1092,2756
1093,790
1094,1103
1095,11298
1096,4480
1097,4481
1098,49688
1099,10765
1100,762
1101,44497
1102,85588
1103,278621
1104,99479
1105,55049
1106,124829
1107,79306
1108,356054
1109,10548
1110,531
1111,104931
1112,4483
1113,18919
1114,31556
1115,26167
1116,26174
1117,61461
1118,117500
1119,218713
1120,217802
1121,127973
1122,659
1123,30892
1124,86369
1125,8074
1126,124676
1127,38554
1128,49763
1129,41326
1130,36555
1131,10608
1132,11216
1133,7452
1134,64567
1135,892
1136,1600
1137,26561
1138,975
1139,18129
1140,54405
1141,150823
1142,409
1143,38251
1144,10161
1145,1412
1146,41768
1147,10409
1148,14285
1149,2469
1150,10174
1151,31225
1152,510
1153,11455
1154,1891
1155,2493
1156,85
1157,68
1158,679
1159,429
1160,13446
1161,389
1162,947
1163,185
1164,595
1165,28
1166,335
1167,1892
1168,144
1169,1092
1170,769
1171,348
1172,766
1173,175
1174,11645
1175,10835
1176,539
1177,525
1178,240
1179,600
1180,530
1181,10705
1182,279
1183,3109
1184,311
1185,1578
1186,703
1187,9549
1188,1398
1189,387
1190,9277
1191,343
1192,37291
1193,490
1194,11235
1195,218
1196,763
1197,9665
1198,18971
1199,696
1200,379
1201,207
1202,37247
1203,1480
1204,9322
1205,826
1206,422
1207,829
1208,828
1209,3090
1210,9964
1211,3063
1212,13667
1213,694
1214,235
1215,832
1216,765
1217,5925
1218,11778
1219,4485
1220,137
1221,33
1222,982
1223,8428
1224,212
1225,105
1226,1633
1227,11202
1228,1554
1229,149
1230,8009
1231,903
1232,11673
1233,3034
1234,339
1235,10404
1236,914
1237,756
1238,288
1239,910
1240,2640
1241,16633
1242,665
1243,11031
1244,11314
1245,15143
1246,89
1247,10322
1248,783
1249,10644
1250,11257
1251,14370
1252,12104
1253,625
1254,8816
1255,830
1256,2323
1257,983
1258,642
1259,655
1260,10341
1261,639
1262,266022
1263,168450
1264,30180
1265,31388
1266,41801
1267,66034
1268,348138
1269,96288
1270,61536
1271,18762
1272,331367
1273,8077
1274,814
1275,41671
1276,27214
1277,52263
1278,33519
1279,16235
1280,11449
1281,41848
1282,25944
1283,24913
1284,49126
1285,32076
1286,571
1287,8851
1288,37843
1289,32146
1290,30346
1291,6114
1292,229
1293,13549
1294,9529
1295,1598
1296,11349
1297,7340
1298,6217
1299,377
1300,653
1301,28198
1302,794
1303,31640
1304,8744
1305,25189
1306,145
1307,2212
1308,199
1309,7863
1310,12498
1311,9279
1312,53234
1313,17204
1314,21539
1315,85589
1316,12709
1317,20539
1318,11674
1319,199512
1320,64900
1321,1573
1322,152
1323,174
1324,172
1325,154
1326,157
1327,168
1328,364
1329,11967
1330,9086
1331,621
1332,9037
1333,10173
1334,55687
1335,168535
1336,8845
1337,46681
1338,578
1339,579
1340,17692
1341,17795
1342,75
1343,13891
1344,9390
1345,378
1346,10896
1347,2322
1348,41240
1349,26949
1350,9819
1351,49799
1352,31908
1353,46027
1354,3179
1355,1802
1356,4232
1357,9361
1358,2928
1359,30285
1360,10549
1361,58102
1362,18451
1363,27265
1364,49935
1365,8818
1366,36758
1367,36040
1368,74239
1369,9415
1370,55146
1371,303693
1372,12145
1373,42424
1374,34314
1375,2892
1376,9404
1377,85242
1378,9622
1379,8860
1380,197537
1381,66597
1382,14832
1383,9619
1384,40506
1385,31000
1386,4104
1387,26306
1388,203829
1389,43775
1390,14908
1391,784
1392,12489
1393,168283
1394,16448
1395,55936
1396,17894
1397,28059
1398,58911
1399,17949
1400,1968
1401,61563
1402,66
1403,20735
1404,11419
1405,333165
1406,25796
1407,638
1408,25624
1409,9366
1410,60083
1411,21915
1412,90928
1413,50091
1414,18420
1415,19952
1416,9446
1417,28005
1418,9403
1419,27322
1420,10003
1421,9311
1422,11844
1423,884
1424,49806
1425,1624
1426,88423
1427,16052
1428,4477
1429,24662
1430,18423
1431,76996
1432,6499
1433,50512
